fsq_place_id,name,latitude,longitude,address,locality,region,postcode,admin_region,post_town,po_box,country,date_created,date_refreshed,date_closed,tel,website,email,facebook_id,instagram,twitter,fsq_category_ids,fsq_category_labels,placemaker_url,unresolved_flags,geom,bbox,labels_str,taco_restaurant
52aa5540498e3872b0a84462,Navajo Tacos Kokopeli,32.521088,-117.0205,Av. Río Bravo 9778,Tijuana,Baja California,22015,,,,MX,2013-12-13,2024-06-17,,664 681 7840,,,,,kokopelis_tacos,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/52aa5540498e3872b0a84462,,b'\x00\x00\x00\x00\x01\xc0]AO\xdf;dZ@@B\xb3\x02\xf7+E',"{'xmin': -117.0205, 'ymin': 32.521088, 'xmax': -117.0205, 'ymax': 32.521088}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
67e2de462fa7916c7efb1792,Birriera King,32.520729,-117.020124,,Tijuana,B.C.,22015,,,,MX,2025-03-25,2025-08-04,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/67e2de462fa7916c7efb1792,,"b'\x00\x00\x00\x00\x01\xc0]AI\xb6,wW@@B\xa7?t\x8a\x16'","{'xmin': -117.020124, 'ymin': 32.520729, 'xmax': -117.020124, 'ymax': 32.520729}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4cd473dafb5954814e60d850,Tacos Memos,32.520633968724965,-117.0202988169047,Río Bravo 9739,Tijuana,Baja California,,,,,MX,2010-11-05,2018-12-12,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4cd473dafb5954814e60d850,,"b'\x00\x00\x00\x00\x01\xc0]AL\x93h\xb04@@B\xa4""Fn""'","{'xmin': -117.0202988169047, 'ymin': 32.520633968724965, 'xmax': -117.0202988169047, 'ymax': 32.520633968724965}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
57ce0236498e61438a7c273f,Chefcito Fish & Shirimp Tacos,32.520878,-117.019005,,Tijuana,Baja California,,,,,MX,2016-09-05,2020-02-18,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/57ce0236498e61438a7c273f,,b'\x00\x00\x00\x00\x01\xc0]A7`\xbf]y@@B\xac![\x9a[',"{'xmin': -117.019005, 'ymin': 32.520878, 'xmax': -117.019005, 'ymax': 32.520878}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
511d6c03e4b0db0bf712dfa7,Mr Pollo Tacos,32.522759,-117.017224,Ave. Diego Rivera # 10129,Tijuana,Baja California,,,,,MX,2013-02-14,2016-06-21,,664 158 9986,,,292988130898157.0,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/511d6c03e4b0db0bf712dfa7,['closed'],b'\x00\x00\x00\x00\x01\xc0]A\x1a2\xb1-4@@B\xe9\xc4TXG',"{'xmin': -117.017224, 'ymin': 32.522759, 'xmax': -117.017224, 'ymax': 32.522759}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5954219fe679bc2571458829,Tacos De Cajeme,32.521379,-117.01671,,Tijuana,BC,22406,,,,MX,2017-06-28,2017-07-05,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/5954219fe679bc2571458829,,b'\x00\x00\x00\x00\x01\xc0]A\x11\xc6\xd1\xe1\t@@B\xbc\x8c\x0c\xe9\x1d',"{'xmin': -117.01671, 'ymin': 32.521379, 'xmax': -117.01671, 'ymax': 32.521379}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
60f49ac575b2962098bfa189,Birria Los Vecinos,32.519234,-117.01727,,Tijuana,Baja California,22015,,,,MX,2021-07-18,2021-07-18,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/60f49ac575b2962098bfa189,,b'\x00\x00\x00\x00\x01\xc0]A\x1a\xf3\xa1L\xec@@BvB||R',"{'xmin': -117.01727, 'ymin': 32.519234, 'xmax': -117.01727, 'ymax': 32.519234}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4ebb4c51dab41f33bea9ca5b,Tacos San Cosme,32.51819470299362,-117.01629740200788,Agua Caliente,Tijuana,Baja California,,,,,MX,2011-11-10,2019-03-06,,664 686 3576,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4ebb4c51dab41f33bea9ca5b,,b'\x00\x00\x00\x00\x01\xc0]A\x0b\x04B(\x8d@@BT4;(\xb5',"{'xmin': -117.01629740200788, 'ymin': 32.51819470299362, 'xmax': -117.01629740200788, 'ymax': 32.51819470299362}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4f642d25e4b03a7ce0b227e1,San Cosme,32.51824335587749,-117.01644109894382,,Tijuana,Mx,,,,,MX,2012-03-17,2018-07-04,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4f642d25e4b03a7ce0b227e1,,b'\x00\x00\x00\x00\x01\xc0]A\r^\xf7\x91\x89@@BU\xcc\\nz',"{'xmin': -117.01644109894382, 'ymin': 32.51824335587749, 'xmax': -117.01644109894382, 'ymax': 32.51824335587749}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5252f082498ee0cf897e5d5a,La Taqueria,32.519226572738354,-117.01622842744372,,,,,,,,MX,2013-10-07,2020-08-09,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/5252f082498ee0cf897e5d5a,,b'\x00\x00\x00\x00\x01\xc0]A\t\xe2\xf5H\xb9@@Bv\x04.\x90\r',"{'xmin': -117.01622842744372, 'ymin': 32.519226572738354, 'xmax': -117.01622842744372, 'ymax': 32.519226572738354}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
